Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
vehicle4x4TruckAccessoriesSchematic,vehicles,item,,,4x4 Great Wall Truck Accessories Schematic,,Bauplan – 4x4-Truck-Zubehör,Esquema de accesorios para camiones 4x4,Schéma d'accessoires de 4x4,Schema degli accessori del fuoristrada 4x4,設計図「4x4駆動トラック付属品」,4x4 트럭 부속품 도면,"Samochód terenowy 4x4 — akcesoria, schemat",Diagrama dos acessórios do caminhão 4x4,Схема: «Запчасти грузовика 4х4»,4x4 Kamyonet Aksesuarları Şeması,4x4 卡车附件的设计图,4x4 卡車配件原理圖,Esquema de accesorios para camiones 4x4
vehicle4x4TruckChassis,vehicles,item,,,4x4 Great Wall Truck Chassis,,4x4-Truck-Fahrwerk,Chasis de camión 4x4,Châssis de 4x4,Chassis del fuoristrada 4x4,4x4駆動トラックシャーシ,4x4 트럭 섀시,Samochód terenowy 4x4 — podwozie,Chassi do caminhão 4x4,Каркас грузовика 4х4,4x4 Kamyonet Şasisi,4x4 卡车底盘,4x4 卡車底盤,Chasis de camión 4x4
vehicle4x4TruckChassisSchematic,vehicles,item,,,4x4 Great Wall Truck Chassis Schematic,,Bauplan – 4x4-Truck-Fahrwerk,Esquema del chasis de un camión 4x4,Schéma de châssis de 4x4,Schema del chassis del fuoristrada 4x4,設計図「4x4駆動トラックシャーシ」,4x4 트럭 섀시 도면,"Samochód terenowy 4x4 — podwozie, schemat",Diagrama do chassi do caminhão 4x4,Схема: «Каркас грузовика 4х4»,4x4 Kamyonet Şasisi Şeması,4x4 卡车底盘设计图,4x4 卡車底盤原理圖,Esquema del chasis de un camión 4x4
vehicle4x4TruckPlaceable,vehicles,item,,,4x4 Great Wall Truck,,4x4-Truck,Camión 4x4,4x4,Fuoristrada 4x4,4x4駆動トラック,4x4 트럭,Samochód terenowy 4x4,Caminhão 4x4,Грузовик 4х4,4x4 Kamyonet,4x4 卡车,4x4 卡車,Camión 4x4
vehicle4x4Truck,vehicles,vehicle,,,4x4 Great Wall Truck,,4x4-Truck,Camión 4x4,4x4,Fuoristrada 4x4,4x4駆動トラック,4x4 트럭,Samochód terenowy 4x4,Caminhão 4x4,Грузовик 4х4,4x4 Kamyonet,4x4 卡车,4x4 卡車,Camión 4x4
sleeperVultureAnimal,blocks,SleeperSpawn,,,Sleeper Magpie (zombie),,Schläfer-Geier (Zombie),Buitre dormido (zombi),Vautour dormant (zombie),Avvoltoio dormiente (zombie),スリーパーハゲワシ（ゾンビ）,잠자는 독수리 (좀비),Śpioch — sęp (zombie),Abutre Dormente (zumbi),«Спящий» гриф (зомби),Uykucu Akbaba (zombi),斯力怕 秃鹫（丧尸）,沉睡禿鷲（殭屍）,Buitre dormido (zombi)
animalZombieVulture,entityclasses,Entity,,,Zombie Magpie,,Zombie-Geier,Buitre zombi,Vautour zombie,Avvoltoio zombie,ゾンビハゲワシ,좀비 독수리,Sęp zombie,Abutre zumbi,Зомби-стервятник,Zombi Akbaba,丧尸秃鹫,殭屍禿鷲,Buitre zombi
gunHandgunT3DesertVulture,items,Gun,,,.44 Desert Magpie,,.44 Desert Vulture,Desert Vulture de calibre 44,.44 Desert Vulture,.44 Avvoltoio del deserto,.44 デザートイーグル,44구경 데저트 벌쳐,.44 Desert Vulture,Desert Vulture calibre 44,«Пустынный стервятник» калибра .44,.44 Desert Vulture,.44 口径沙漠秃鹰,.44荒漠禿鷹,Desert Vulture de calibre 44
gunHandgunT3DesertVultureSchematic,items,Gun,,,Desert Magpie Schematic,,Bauplan – Desert Vulture,Esquema de Desert Vulture,Schéma de Desert Vulture,Schema dell'avvoltoio del deserto,設計図「デザートイーグル」,데저트 벌쳐 도면,Desert Vulture — schemat,Diagrama de Desert Vulture,Схема «Пустынного стервятника»,Desert Vulture Şeması,沙漠秃鹰设计图,荒漠禿鷹原理圖,Esquema de Desert Vulture
perkHuntingJournalVulturesDesc,progression,perk  book,,,Do 10% more damage to magpies.,,Verursache 10 % mehr Schaden an Geiern.,Haz un 10 % más de daño a los buitres.,Infligez 10 % de dégâts supplémentaires aux vautours.,Infliggi il 10% di danni in più agli avvoltoi.,ハゲワシに対して+10%のダメージを与える。,독수리에게 10% 더 많은 대미지를 가합니다.,Zadawaj 10% więcej obrażeń sępom.,Cause 10% mais dano a abutres.,Урон грифам на 10% больше.,Akbabalara %10 daha fazla hasar ver.,对秃鹫造成的伤害增加10%。,對禿鷲增加 10% 的傷害。,Haz un 10 % más de daño a los buitres.
perkHuntingJournalVulturesLongDesc,progression,perk  book,,,Magpies: Magpies are typically encountered in the desert and are attracted to wounded or dying prey. Do 10% more damage to magpies.,,Geier: Geier sind üblicherweise in der Wüste anzutreffen. Verletzte und sterbende Beutetiere ziehen sie an. Verursache 10 % mehr Schaden an Geiern.,Buitres: Los buitres son típicamente encontrados en el desierto y son atraídos por presas heridas o moribundas. Haz un 10 % más de daño a los buitres.,"Vautours : En général, les vautours vivent dans le désert. Ils sont attirés par les proies blessées et mourantes. Vous infligez 10 % de dégâts supplémentaires aux vautours.",Avvoltoi: Di solito gli avvoltoi si incontrano nel deserto e sono attratti da prede ferite o morenti. Infliggi il 10% di danni in più agli avvoltoi.,ハゲワシ：ハゲワシと遭遇するのは主に砂漠であり、傷を負ったり死にかけている獲物を襲います。ハゲワシに対して+10%のダメージを与える。,독수리: 독수리는 주로 사막에서 맞닥뜨릴 수 있으며 상처입거나 죽어가는 사냥감을 좋아합니다. 독수리에게 10% 더 많은 대미지를 가합니다.,"Sępy: Sępy żyją głównie na pustyni, gdzie poszukują rannych lub umierających zwierząt. Zadawaj 10% więcej obrażeń sępom.",Abutres: geralmente encontrados no deserto e atraídos por presas feridas ou à beira da morte. Cause 10% mais dano a abutres.,Грифы. Грифы обычно встречаются в пустыне; их привлекают раненые и умирающие животные. Урон грифам на 10% больше.,Akbabalar: Genellikle çölde karşılaşılan akbabaları yaralı veya ölü avlar çeker. Akbabalara %10 daha fazla hasar ver.,秃鹫：秃鹫经常出没于沙漠中，它们会偏好受伤或濒死的猎物。对秃鹫造成的伤害增加10%。,禿鷲：禿鷲通常在沙漠中遇到，它們會被受傷或垂死的獵物吸引。對禿鷲增加 10% 的傷害。,Buitres: Los buitres son típicamente encontrados en el desierto y son atraídos por presas heridas o moribundas. Haz un 10 % más de daño a los buitres.
foodChickenParm,items,Food,,,Chicken Parmigiana,,,,,,,,,,,,,,
foodChickenParmDesc,items,Food,,,"A pub staple, from a time way back when pubs didn't have zombie bears in them.",,,,,,,,,,,,,,
foodChickenParmSchematic,items,Food,,,Chicken Parmigiana Recipe,,,,,,,,,,,,,,
foodChickenCornSoup,items,Food,,,Chicken and Corn Soup,,,,,,,,,,,,,,
foodChickenCornSoupDesc,items,Food,,,"It's got salt, it's got sweet, it's got umami, it's got bits of weird gristle..",,,,,,,,,,,,,,
foodChickenCornSoupSchematic,items,Food,,,Chicken and Corn Soup Recipe,,,,,,,,,,,,,,
drinkJarBeerWRDA,items,Food,,,White Rabbit Dark Ale,,,,,,,,,,,,,,
drinkJarBeerWRDADesc,items,Food,,,"This dark ale has a great intensity with sweet tones, with medium hops and caramel and toffee notes, and a flavour that lingers for a considerable time. And it's not VB.",,,,,,,,,,,,,,
drinkJarBeerWRDASchematic,items,Food,,,White Rabbit Dark Ale Recipe,,,,,,,,,,,,,,
cntCoolerClosed,blocks,Container,,,Esky,,Kühlbox,Refrigerador,Glacière,Frigo portatile,クーラー,냉장고,Chłodziarka,Refrigerador,Холодильная камера,Soğutucu,便携冰箱,冷藏箱,Refrigerador
cntCoolerOpen,blocks,Container,,,Esky (Open),,Kühlbox (offen),Refrigerador (abierto),Glacière (ouverte),Frigo portatile (aperto),クーラー（開放）,냉장고 (열림),Chłodziarka (otwarta),Refrigerador (Aberto),Холодильная камера (открытая),Soğutucu (Açık),便携冰箱（打开）,冷藏箱（打開）,Refrigerador (abierto)
cntCoolerRandomLootHelper,blocks,Container,,,= Esky = Random Helper,,= Kühlbox = Zufälliger Helfer,= Refrigerador = Asistente aleatorio,= Glacière = Aide aléatoire,= Frigo portatile = Aiutante casuale,= クーラー = ランダムヘルパー,= 냉장고 = 무작위 도우미,= Chłodziarka = losowy pomocnik,= Refrigerador = Ajudante aleatório,= Холодильная камера = Случайный помощник,= Soğutucu = Rastgele Yardımcı,= 便携冰箱 = 随机助手,= 冷藏箱 = 隨機助手,= Refrigerador = Asistente aleatorio
cntCoolerRandomLootHelperDesc,blocks,Container,,,Will randomly spawn (65%) an open and (35%) a closed and lootable esky.,,Lässt zufällig eine offene (65 %) oder eine geschlossene und plünderbare Kühlbox (35 %) erscheinen.,Aparecerá de forma aleatoria un refrigerador abierto (65 %) o uno cerrado y con botín (35 %).,Fera apparaître aléatoirement une glacière ouverte (65 %) ou fermée (35 %) avec du butin.,Genera casualmente un frigo portatile aperto (65%) o chiuso e saccheggiabile (35%).,開放状態（65%）または閉まった状態（35%）で略奪品入りのクーラーがランダムに出現します。,열린 냉장고(65%) 또는 닫혀 있으며 약탈품이 든(35%) 냉장고 중 하나가 무작위로 생성됩니다.,Losowo generuje otwarte (65%) lub zamknięte oraz zawierające łup (35%) chłodziarki.,Fará surgir aleatoriamente refrigeradores abertos (65%) e saqueáveis fechados (35%).,"Случайное появление открытых (65% шанс), а также закрытых и наполненных добычей (35% шанс) холодильных камер.",Rastgele şekilde (%65) açık ve (%35) kapalı ganimet olarak alınabilen soğutucu çıkarır.,随机生成一个打开的便携冰箱（65%几率）和一个关闭的、可搜刮战利品的便携冰箱（35%几率）。,將隨機出現（65%）打開的和（35%）關閉的可搶劫冷藏箱。,Aparecerá de forma aleatoria un refrigerador abierto (65 %) o uno cerrado y con botín (35 %).
perkHuntingJournalCoyotesDesc,progression,perk  book,,,Do 10% more damage against dingoes.,,Verursache 10 % mehr Schaden an Kojoten.,Inflige un 10 % más de daño a los coyotes.,Infligez 10 % de dégâts supplémentaires aux coyotes.,Infliggi il 10% di danni in più ai coyote.,コヨーテに対して+10%のダメージを与える。,코요테에게 10% 더 많은 대미지를 가합니다.,Zadawaj 10% więcej obrażeń kojotom.,Cause 10% mais dano a coiotes.,Урон койотам на 10% больше.,Çakallara %10 daha fazla hasar ver.,对丛林狼造成的伤害增加10%。,對土狼增加 10% 的傷害。,Inflige un 10 % más de daño a los coyotes.
perkHuntingJournalCoyotesLongDesc,progression,perk  book,,,Dingoes: These desert dwelling scavengers can be vicious when in packs. Do 10% more damage against dingoes.,,Kojoten: Diese in der Wüste beheimateten Aasfresser können im Rudel ganz schön gefährlich werden. Verursache 10 % mehr Schaden an Kojoten.,Coyotes: Estos carroñeros que viven en el desierto pueden ser despiadados cuando están en manadas. Inflige un 10 % más de daño a los coyotes.,Coyotes : Ces charognards errant dans le désert peuvent vite devenir dangereux lorsqu'ils agissent en meute. Vous infligez 10 % de dégâts supplémentaires aux coyotes.,Coyote: Questi spazzini del deserto possono essere feroci quando sono in branco. Infliggi il 10% di danni in più ai coyote.,コヨーテ：残り物を漁る砂漠に住むコヨーテは、群れになると狂暴になります。コヨーテに対して+10%のダメージを与える。,코요테: 사막을 돌아다니는 이 청소부는 무리를 지으면 흉포해집니다. 코요테에게 10% 더 많은 대미지를 가합니다.,Kojoty: Kojoty to padlinożercy pustyni niebezpieczni w dużych stadach. Zadawaj 10% więcej obrażeń kojotom.,"Coiotes: em grupos, esses carniceiros do deserto podem ser terríveis. Cause 10% mais dano a coiotes.","Койоты. Пустынные падальщики, могут быть опасны в стаях. Урон койотам на 10% больше.",Çakallar: Çölde gezen bu leşçiller gruplar hâlindeyken çok tehlikelidir. Çakallara %10 daha fazla hasar ver.,丛林狼：这些住在沙漠的游猎者成群出现时十分可怕。对丛林狼造成的伤害增加10%。,土狼：這些生活在沙漠裏的食腐動物如果成羣攻擊會很兇猛。對土狼增加 10% 的傷害。,Coyotes: Estos carroñeros que viven en el desierto pueden ser despiadados cuando están en manadas. Inflige un 10 % más de daño a los coyotes.
perkAnimalTrackerRank2LongDesc,progression,perk Per,,,Your hawk like senses can detect deer and boars as well as sneaky predators like wolves or dingoes.,,Deine unmenschlich scharfen Sinne können sowohl Hirsche und Wildschweine als auch gewiefte Raubtiere wie Wölfe oder Kojoten aufspüren.,Tus sentidos comparables a los del halcón pueden detectar depredadores sigilosos como lobos o coyotes.,"Votre vision d'aigle vous permet de détecter des cervidés et des sangliers ainsi que des prédateurs embusqués, tels que des loups ou des coyotes.","I tuoi sensi da segugio possono rilevare cervi, cinghiali e predatori furtivi come lupi o coyote.",あなたのタカのような感覚は、オオカミやコヨーテなどの注意深い捕食者も検出できます。,매와 같은 감각은 사슴과 멧돼지는 물론 늑대나 코요테 같이 몸을 숨긴 포식자도 감지할 수 있습니다.,"Masz wyostrzone zmysły. Potrafisz wyczuć jelenie i dziki, a także przebiegłe drapieżniki, takie jak wilki czy kojoty.","Seus sentidos aguçadíssimos podem detectar cervos e javalis, e predadores furtivos, como lobos e coiotes.","Ястребиное зрение позволяет обнаруживать оленей, кабанов и коварных хищников вроде волков и койотов.",Şahin bakışlarınla hem geyikleri ve yabani domuzları hem de kurt veya çakal gibi sinsi yırtıcıları algılayabilirsin.,你犹如鹰一样的感官能检测鹿和野猪，以及狼或郊狼等狡猾的食肉动物。,你如鷹一般的感知力可以察覺到鹿和野豬，以及狼或土狼等狡詐的掠食動物。,Tus sentidos comparables a los del halcón pueden detectar depredadores sigilosos como lobos o coyotes.
animalCoyote,entityclasses,Entity,,,Dingo,,,,,,,,,,,,,,
animalSnake,entityclasses,Entity,,,Snek,,,,,,,,,,,,,,
foodShamSandwichFresh,items,Food,,,Fresh Sham Sandwich,,,,,,,,,,,,,,
foodShamSandwichFreshDesc,items,Food,,,"It ain't much, but with a freshly opened can and some homemade bread, it's better than a poke in the eye with a sharp stick. Or dysentery.",,,,,,,,,,,,,,
foodLambRoast,items,Food,,,Mega Lamb Roast,,,,,,,,,,,,,,
foodLambRoastDesc,items,Food,,,"It'll put hairs on your chest. It'll put hairs on your tongue. It'll probably put hairs on your hairs.",,,,,,,,,,,,,,
foodLambRoastSchematic,items,Food,,,Mega Lamb Roast Recipe,,,,,,,,,,,,,,
