Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
cobblestoneCross,blocks,Block,,,Cobblestone Cross,,,,,,,,,,,,,,
cobblestoneCrossCtr,blocks,Block,,,Cobblestone Cross Centre,,,,,,,,,,,,,,
cobblestoneCrossHalf,blocks,Block,,,Cobblestone Cross Half,,,,,,,,,,,,,,
cobblestoneCrown,blocks,Block,,,Cobblestone Crown,,,,,,,,,,,,,,
cobblestoneCrownInsideCorner,blocks,Block,,,Cobblestone Crown Inside Corner,,,,,,,,,,,,,,
cobblestoneCTRQuarter,blocks,Block,,,Cobblestone Centre Quarter,,,,,,,,,,,,,,
cobblestoneCTRQuarterPlate4Way,blocks,Block,,,Cobblestone Centre Quarter Plate 4-Way,,,,,,,,,,,,,,
cobblestoneCTRQuarterSquareTop,blocks,Block,,,Cobblestone Centre Quarter Square Top,,,,,,,,,,,,,,
cobblestonedoorTrim1m,blocks,Block,,,Cobblestone Door Trim 1m,,,,,,,,,,,,,,
cobblestonedoorTrim2m,blocks,Block,,,Cobblestone Door Trim 2m,,,,,,,,,,,,,,
cobblestonedoorTrimHalfm,blocks,Block,,,Cobblestone Door Trim 0.5m,,,,,,,,,,,,,,
cobblestonedoorTrimTop,blocks,Block,,,Cobblestone Door Trim Top,,,,,,,,,,,,,,
cobblestoneGable,blocks,Block,,,Cobblestone Gable,,,,,,,,,,,,,,
cobblestoneGable1m,blocks,Block,,,Cobblestone Gable 1m,,,,,,,,,,,,,,
cobblestoneGable1mHalf,blocks,Block,,,Cobblestone Gable 1m Half,,,,,,,,,,,,,,
cobblestoneGable3Quarter,blocks,Block,,,Cobblestone Gable Three-Quarter,,,,,,,,,,,,,,
cobblestoneGable3QuarterHalf,blocks,Block,,,Cobblestone Gable Three-Quarter Half,,,,,,,,,,,,,,
cobblestoneGableHalf,blocks,Block,,,Cobblestone Gable Half,,,,,,,,,,,,,,
cobblestoneGableInvertedQuarterHalf,blocks,Block,,,Cobblestone Gable Inverted Quarter Half,,,,,,,,,,,,,,
cobblestoneGableInvertedRampHalf,blocks,Block,,,Cobblestone Gable Inverted Ramp Half,,,,,,,,,,,,,,
cobblestoneGableInvertedSteepHalf,blocks,Block,,,Cobblestone Gable Inverted Steep Half,,,,,,,,,,,,,,
cobblestoneGablePyramid,blocks,Block,,,Cobblestone Gable Pyramid,,,,,,,,,,,,,,
cobblestoneGableQuarterHalf,blocks,Block,,,Cobblestone Gable Quarter Half,,,,,,,,,,,,,,
cobblestoneHalfCentered,blocks,Block,,,Cobblestone Half Centreed,,,,,,,,,,,,,,
cobblestoneHalfCNRInside2,blocks,Block,,,Cobblestone Half Inside Corner Type 2,,,,,,,,,,,,,,
cobblestoneHalfInsideCorner,blocks,Block,,,Cobblestone Half Inside Corner Type 1,,,,,,,,,,,,,,
cobblestoneHalfPlate,blocks,Block,,,Cobblestone Half Plate,,,,,,,,,,,,,,
cobblestoneHalfRampStairs50,blocks,Block,,,Cobblestone Half Ramp Stairs 50,,,,,,,,,,,,,,
cobblestoneHalfRampStairs50Filler,blocks,Block,,,Cobblestone Half Ramp Stairs 50 Filler,,,,,,,,,,,,,,
cobblestoneInclineTipHalf1,blocks,Block,,,Cobblestone Incline Tip Half Type 1,,,,,,,,,,,,,,
cobblestoneInclineTipHalf2,blocks,Block,,,Cobblestone Incline Tip Half Type 2,,,,,,,,,,,,,,
cobblestonePillar100Cap,blocks,Block,,,Cobblestone Pillar 100 Cap,,,,,,,,,,,,,,
cobblestonePillar50CNR,blocks,Block,,,Cobblestone Pillar 50 Corner,,,,,,,,,,,,,,
cobblestonePillar50CNRPlate,blocks,Block,,,Cobblestone Pillar 50 Corner Plate,,,,,,,,,,,,,,
cobblestonePillar50SquareTop,blocks,Block,,,Cobblestone Pillar 50 Square Top,,,,,,,,,,,,,,
cobblestonePlateCorner,blocks,Block,,,Cobblestone Plate Corner,,,,,,,,,,,,,,
cobblestonePlateCurved,blocks,Block,,,Cobblestone Plate Curved,,,,,,,,,,,,,,
cobblestonePlateHalfTriangle,blocks,Block,,,Cobblestone Plate Half Triangle,,,,,,,,,,,,,,
cobblestonePlatePole,blocks,Block,,,Cobblestone Plate Pole,,,,,,,,,,,,,,
cobblestonePlateQuarterTriangle,blocks,Block,,,Cobblestone Plate Quarter Triangle,,,,,,,,,,,,,,
cobblestonePoleCornerRound,blocks,Block,,,Cobblestone Pole Corner Round,,,,,,,,,,,,,,
cobblestonePoleSCTR,blocks,Block,,,Cobblestone Pole Support Centre,,,,,,,,,,,,,,
cobblestonePoleSupport,blocks,Block,,,Cobblestone Pole Support Type 1,,,,,,,,,,,,,,
cobblestonePoleSupport2,blocks,Block,,,Cobblestone Pole Support Type 2,,,,,,,,,,,,,,
cobblestonePoleSupportCtr,blocks,Block,,,Cobblestone Pole Support Centre,,,,,,,,,,,,,,
cobblestonePyramid1m,blocks,Block,,,Cobblestone Pyramid 1m,,,,,,,,,,,,,,
cobblestoneQuarter,blocks,Block,,,Cobblestone Quarter,,,,,,,,,,,,,,
cobblestoneQuarterCNRQuarterPlate,blocks,Block,,,Cobblestone Quarter Corner Quarter Plate,,,,,,,,,,,,,,
cobblestoneRampIncline,blocks,Block,,,Cobblestone Ramp Incline,,,,,,,,,,,,,,
cobblestoneRampInclineFiller,blocks,Block,,,Cobblestone Ramp Incline Filler,,,,,,,,,,,,,,
cobblestoneRampInclineFillerHalf1,blocks,Block,,,Cobblestone Ramp Incline Filler Half Type 1,,,,,,,,,,,,,,
cobblestoneRampInclineFillerHalf2,blocks,Block,,,Cobblestone Ramp Incline Filler Half Type 2,,,,,,,,,,,,,,
cobblestoneRampInclineHalf1,blocks,Block,,,Cobblestone Ramp Incline Half Type 1,,,,,,,,,,,,,,
cobblestoneRampInclineHalf2,blocks,Block,,,Cobblestone Ramp Incline Half Type 2,,,,,,,,,,,,,,
cobblestoneRampInclineInsideCNR,blocks,Block,,,Cobblestone Ramp Incline Inside Corner,,,,,,,,,,,,,,
cobblestoneRampInclineInsideCNRFiller,blocks,Block,,,Cobblestone Ramp Incline Inside Corner Filler,,,,,,,,,,,,,,
cobblestoneRampInclineOutsideCNR,blocks,Block,,,Cobblestone Ramp Incline Outside Corner,,,,,,,,,,,,,,
cobblestoneRampInclineOutsideCNRFiller,blocks,Block,,,Cobblestone Ramp Incline Outside Corner Filler,,,,,,,,,,,,,,
cobblestoneTubeCenter,blocks,Block,,,Cobblestone Tube Centre,,,,,,,,,,,,,,
cobblestoneTubeCorner,blocks,Block,,,Cobblestone Tube Corner,,,,,,,,,,,,,,
cobblestoneTunnelCenter,blocks,Block,,,Cobblestone Tunnel Centre,,,,,,,,,,,,,,
cobblestoneTunnelCorner,blocks,Block,,,Cobblestone Tunnel Corner,,,,,,,,,,,,,,
cobblestoneWedgeInclineCornerTop,blocks,Block,,,Cobblestone Wedge Incline Corner Top,,,,,,,,,,,,,,
cobblestoneWedgeNarrowHigh,blocks,Block,,,Cobblestone Wedge Narrow High,,,,,,,,,,,,,,
cobblestoneWedgeNarrowLow,blocks,Block,,,Cobblestone Wedge Narrow Low,,,,,,,,,,,,,,
cobblestoneWedgeNarrowMid,blocks,Block,,,Cobblestone Wedge Narrow Mid,,,,,,,,,,,,,,
cobblestoneWedgeNarrowTip,blocks,Block,,,Cobblestone Wedge Narrow Tip,,,,,,,,,,,,,,
cobblestoneWedgeRampLeftIntersection,blocks,Block,,,Cobblestone Wedge Ramp Left Intersection,,,,,,,,,,,,,,
cobblestoneWedgeRampRightIntersection,blocks,Block,,,Cobblestone Wedge Ramp Right Intersection,,,,,,,,,,,,,,
cobblestoneWedgeSteepTipLeftIntersection,blocks,Block,,,Cobblestone Wedge Steep Tip Left Intersection,,,,,,,,,,,,,,
cobblestoneWedgeSteepTipRightIntersection,blocks,Block,,,Cobblestone Wedge Steep Tip Right Intersection,,,,,,,,,,,,,,
cobblestoneWedgeSteepWedgeLeftIntersection,blocks,Block,,,Cobblestone Wedge Steep Wedge Left Intersection,,,,,,,,,,,,,,
cobblestoneWedgeSteepWedgeRightIntersection,blocks,Block,,,Cobblestone Wedge Steep Wedge Right Intersection,,,,,,,,,,,,,,
cobblestoneWedgeTipHalf1,blocks,Block,,,Cobblestone Wedge Tip Half Type 1,,,,,,,,,,,,,,
cobblestoneWedgeTipHalf2,blocks,Block,,,Cobblestone Wedge Tip Half Type 2,,,,,,,,,,,,,,
cobblestoneWedgeTipRampLeftIntersection,blocks,Block,,,Cobblestone Wedge Tip Ramp Left Intersection,,,,,,,,,,,,,,
cobblestoneWedgeTipRampRightIntersection,blocks,Block,,,Cobblestone Wedge Tip Ramp Right Intersection,,,,,,,,,,,,,,
cobblestoneWedgeTipSteepTipLeftIntersection,blocks,Block,,,Cobblestone Wedge Tip Steep Tip Left Intersection,,,,,,,,,,,,,,
cobblestoneWedgeTipSteepTipRightIntersection,blocks,Block,,,Cobblestone Wedge Tip Steep Tip Right Intersection,,,,,,,,,,,,,,
cobblestoneWedgeTipSteepWedgeLeftIntersection,blocks,Block,,,Cobblestone Wedge Tip Steep Wedge Left Intersection,,,,,,,,,,,,,,
cobblestoneWedgeTipSteepWedgeRightIntersection,blocks,Block,,,Cobblestone Wedge Tip Steep Wedge Right Intersection,,,,,,,,,,,,,,
cobblestoneWindowArch3MCNR,blocks,Block,,,Cobblestone Window Wide Arch Corner,,,,,,,,,,,,,,
cobblestoneWindowArch3MCTR,blocks,Block,,,Cobblestone Window Wide Arch Centre,,,,,,,,,,,,,,
cobblestoneWindowArch3MTip,blocks,Block,,,Cobblestone Window Wide Arch Tip,,,,,,,,,,,,,,
cobblestoneWindowArchTop,blocks,Block,,,Cobblestone Window Arch Top,,,,,,,,,,,,,,
cobblestoneWindowCircle,blocks,Block,,,Cobblestone Window Circle,,,,,,,,,,,,,,
cobblestoneWindowCircleCorner,blocks,Block,,,Cobblestone Window Circle Corner,,,,,,,,,,,,,,
cobblestoneWindowTrim,blocks,Block,,,Cobblestone Window Trim,,,,,,,,,,,,,,
cobblestoneWindowTrimBottom,blocks,Block,,,Cobblestone Window Trim Bottom,,,,,,,,,,,,,,
cobblestoneWindowTrimSides,blocks,Block,,,Cobblestone Window Trim Sides,,,,,,,,,,,,,,
cobblestoneWindowTrimTop,blocks,Block,,,Cobblestone Window Trim Top,,,,,,,,,,,,,,
cobblestoneWindowTrimTopFancy,blocks,Block,,,Cobblestone Window Trim Top Fancy,,,,,,,,,,,,,,
concreteArch3m,blocks,Block,,,Concrete Wide Arch,,,,,,,,,,,,,,
concreteArch3m_center,blocks,Block,,,Concrete Wide Arch Centre,,,,,,,,,,,,,,
concreteArch3m_tip,blocks,Block,,,Concrete Wide Arch Tip,,,,,,,,,,,,,,
concreteArchCurveBase,blocks,Block,,,Concrete Arch Curve Base,,,,,,,,,,,,,,
concreteArchCurveFiller,blocks,Block,,,Concrete Arch Curve Filler,,,,,,,,,,,,,,
concreteArchCurveMiddle,blocks,Block,,,Concrete Arch Curve Middle,,,,,,,,,,,,,,
concreteArchCurveTop,blocks,Block,,,Concrete Arch Curve Top,,,,,,,,,,,,,,
concreteArchCurveTopMiddle,blocks,Block,,,Concrete Arch Curve Top Middle,,,,,,,,,,,,,,
concreteArchCurveTopMiddleTopper,blocks,Block,,,Concrete Arch Curve Top Middle Topper,,,,,,,,,,,,,,
concreteArchCurveWall,blocks,Block,,,Concrete Arch Curve Wall,,,,,,,,,,,,,,
concreteArchCurveWallCap,blocks,Block,,,Concrete Arch Curve Wall Cap,,,,,,,,,,,,,,
concreteArrowBlock,blocks,Block,,,Concrete Arrow Block,,,,,,,,,,,,,,
concreteArrowSlit,blocks,Block,,,Concrete Arrow Slit,,,,,,,,,,,,,,
concreteCone1m,blocks,Block,,,Concrete Cone 1m,,,,,,,,,,,,,,
concreteCross,blocks,Block,,,Concrete Cross,,,,,,,,,,,,,,
concreteCrossCtr,blocks,Block,,,Concrete Cross Centre,,,,,,,,,,,,,,
concreteCrossHalf,blocks,Block,,,Concrete Cross Half,,,,,,,,,,,,,,
concreteCrown,blocks,Block,,,Concrete Crown,,,,,,,,,,,,,,
concreteCrownInsideCorner,blocks,Block,,,Concrete Crown Inside Corner,,,,,,,,,,,,,,
concreteCTRQuarterSquareTop,blocks,Block,,,Concrete Centre Quarter Square Top,,,,,,,,,,,,,,
concretedoorTrim1m,blocks,Block,,,Concrete Door Trim 1m,,,,,,,,,,,,,,
concretedoorTrim2m,blocks,Block,,,Concrete Door Trim 2m,,,,,,,,,,,,,,
concretedoorTrimHalfm,blocks,Block,,,Concrete Door Trim 0.5m,,,,,,,,,,,,,,
concretedoorTrimTop,blocks,Block,,,Concrete Door Trim Top,,,,,,,,,,,,,,
concreteGable,blocks,Block,,,Concrete Gable,,,,,,,,,,,,,,
concreteGable1mHalf,blocks,Block,,,Concrete Gable 1m Half,,,,,,,,,,,,,,
concreteGable3Quarter,blocks,Block,,,Concrete Gable Three-Quarter,,,,,,,,,,,,,,
concreteGable3QuarterHalf,blocks,Block,,,Concrete Gable Three-Quarter Half,,,,,,,,,,,,,,
concreteGableHalf,blocks,Block,,,Concrete Gable Half,,,,,,,,,,,,,,
concreteGableInvertedQuarterHalf,blocks,Block,,,Concrete Gable Inverted Quarter Half,,,,,,,,,,,,,,
concreteGableInvertedRampHalf,blocks,Block,,,Concrete Gable Inverted Ramp Half,,,,,,,,,,,,,,
concreteGableInvertedSteepHalf,blocks,Block,,,Concrete Gable Inverted Steep Half,,,,,,,,,,,,,,
concreteGablePyramid,blocks,Block,,,Concrete Gable Pyramid,,,,,,,,,,,,,,
concreteGableQuarterHalf,blocks,Block,,,Concrete Gable Quarter Half,,,,,,,,,,,,,,
concreteInclineTipHalf1,blocks,Block,,,Concrete Incline Tip Half Type 1,,,,,,,,,,,,,,
concreteInclineTipHalf2,blocks,Block,,,Concrete Incline Tip Half Type 2,,,,,,,,,,,,,,
concretePillar50CNR,blocks,Block,,,Concrete Pillar 50 Corner,,,,,,,,,,,,,,
concretePillar50CNRPlate,blocks,Block,,,Concrete Pillar 50 Corner Plate,,,,,,,,,,,,,,
concretePillar50SquareTop,blocks,Block,,,Concrete Pillar 50 Square Top,,,,,,,,,,,,,,
concretePlateCurved,blocks,Block,,,Concrete Plate Curved,,,,,,,,,,,,,,
concretePoleSupport,blocks,Block,,,Concrete Pole Support Type 1,,,,,,,,,,,,,,
concretePoleSupport2,blocks,Block,,,Concrete Pole Support Type 2,,,,,,,,,,,,,,
concretePoleSupportCtr,blocks,Block,,,Concrete Pole Support Centre,,,,,,,,,,,,,,
concreteRampIncline,blocks,Block,,,Concrete Ramp Incline,,,,,,,,,,,,,,
concreteRampInclineFiller,blocks,Block,,,Concrete Ramp Incline Filler,,,,,,,,,,,,,,
concreteRampInclineFillerHalf1,blocks,Block,,,Concrete Ramp Incline Filler Half Type 1,,,,,,,,,,,,,,
concreteRampInclineFillerHalf2,blocks,Block,,,Concrete Ramp Incline Filler Half Type 2,,,,,,,,,,,,,,
concreteRampInclineHalf1,blocks,Block,,,Concrete Ramp Incline Half Type 1,,,,,,,,,,,,,,
concreteRampInclineHalf2,blocks,Block,,,Concrete Ramp Incline Half Type 2,,,,,,,,,,,,,,
concreteRampInclineInsideCNR,blocks,Block,,,Concrete Ramp Incline Inside Corner,,,,,,,,,,,,,,
concreteRampInclineInsideCNRFiller,blocks,Block,,,Concrete Ramp Incline Inside Corner Filler,,,,,,,,,,,,,,
concreteRampInclineOutsideCNR,blocks,Block,,,Concrete Ramp Incline Outside Corner,,,,,,,,,,,,,,
concreteRampInclineOutsideCNRFiller,blocks,Block,,,Concrete Ramp Incline Outside Corner Filler,,,,,,,,,,,,,,
concreteWedgeTipHalf1,blocks,Block,,,Concrete Wedge Tip Half Type 1,,,,,,,,,,,,,,
concreteWedgeTipHalf2,blocks,Block,,,Concrete Wedge Tip Half Type 2,,,,,,,,,,,,,,
concreteWindowArchTop,blocks,Block,,,Concrete Window Arch Top,,,,,,,,,,,,,,
concreteWindowCircle,blocks,Block,,,Concrete Window Circle,,,,,,,,,,,,,,
concreteWindowCircleCorner,blocks,Block,,,Concrete Window Circle Corner,,,,,,,,,,,,,,
concreteWindowTrim,blocks,Block,,,Concrete Window Trim,,,,,,,,,,,,,,
concreteWindowTrimBottom,blocks,Block,,,Concrete Window Trim Bottom,,,,,,,,,,,,,,
concreteWindowTrimSides,blocks,Block,,,Concrete Window Trim Sides,,,,,,,,,,,,,,
concreteWindowTrimTop,blocks,Block,,,Concrete Window Trim Top,,,,,,,,,,,,,,
concreteWindowTrimTopFancy,blocks,Block,,,Concrete Window Trim Top Fancy,,,,,,,,,,,,,,
flagstone2PlateCorner,blocks,Block,,,Flagstone Two-Plate Corner,,,,,,,,,,,,,,
flagstone2PlateCornerHalf,blocks,Block,,,Flagstone Two-Plate Corner Half,,,,,,,,,,,,,,
flagstoneArchCurveBase,blocks,Block,,,Flagstone Arch Curve Base,,,,,,,,,,,,,,
flagstoneArchCurveFiller,blocks,Block,,,Flagstone Arch Curve Filler,,,,,,,,,,,,,,
flagstoneArchCurveMiddle,blocks,Block,,,Flagstone Arch Curve Middle,,,,,,,,,,,,,,
flagstoneArchCurveTop,blocks,Block,,,Flagstone Arch Curve Top,,,,,,,,,,,,,,
flagstoneArchCurveTopMiddle,blocks,Block,,,Flagstone Arch Curve Top Middle,,,,,,,,,,,,,,
flagstoneArchCurveTopMiddleTopper,blocks,Block,,,Flagstone Arch Curve Top Middle Topper,,,,,,,,,,,,,,
flagstoneArchCurveWall,blocks,Block,,,Flagstone Arch Curve Wall,,,,,,,,,,,,,,
flagstoneArchCurveWallCap,blocks,Block,,,Flagstone Arch Curve Wall Cap,,,,,,,,,,,,,,
flagstoneArrowBlock,blocks,Block,,,Flagstone Arrow Block,,,,,,,,,,,,,,
flagstoneArrowSlit,blocks,Block,,,Flagstone Arrow Slit,,,,,,,,,,,,,,
flagstoneCNRRound,blocks,Block,,,Flagstone Corner Round,,,,,,,,,,,,,,
flagstoneCNRRoundTop,blocks,Block,,,Flagstone Corner Round Top,,,,,,,,,,,,,,
flagstoneCone1m,blocks,Block,,,Flagstone Cone 1m,,,,,,,,,,,,,,
flagstoneCross,blocks,Block,,,Flagstone Cross,,,,,,,,,,,,,,
flagstoneCrossCtr,blocks,Block,,,Flagstone Cross Centre,,,,,,,,,,,,,,
flagstoneCrossHalf,blocks,Block,,,Flagstone Cross Half,,,,,,,,,,,,,,
flagstoneCrown,blocks,Block,,,Flagstone Crown,,,,,,,,,,,,,,
flagstoneCrownInsideCorner,blocks,Block,,,Flagstone Crown Inside Corner,,,,,,,,,,,,,,
flagstoneCTRQuarter,blocks,Block,,,Flagstone Centre Quarter,,,,,,,,,,,,,,
flagstoneCTRQuarterPlate4Way,blocks,Block,,,Flagstone Centre Quarter Plate 4-Way,,,,,,,,,,,,,,
flagstoneCTRQuarterSquareTop,blocks,Block,,,Flagstone Centre Quarter Square Top,,,,,,,,,,,,,,
flagstonedoorTrim1m,blocks,Block,,,Flagstone Door Trim 1m,,,,,,,,,,,,,,
flagstonedoorTrim2m,blocks,Block,,,Flagstone Door Trim 2m,,,,,,,,,,,,,,
flagstonedoorTrimHalfm,blocks,Block,,,Flagstone Door Trim 0.5m,,,,,,,,,,,,,,
flagstonedoorTrimTop,blocks,Block,,,Flagstone Door Trim Top,,,,,,,,,,,,,,
flagstoneGable1m,blocks,Block,,,Flagstone Gable 1m,,,,,,,,,,,,,,
flagstoneGable1mHalf,blocks,Block,,,Flagstone Gable 1m Half,,,,,,,,,,,,,,
flagstoneGable3Quarter,blocks,Block,,,Flagstone Gable Three-Quarter,,,,,,,,,,,,,,
flagstoneGable3QuarterHalf,blocks,Block,,,Flagstone Gable Three-Quarter Half,,,,,,,,,,,,,,
flagstoneGableHalf,blocks,Block,,,Flagstone Gable Half,,,,,,,,,,,,,,
flagstoneGableInvertedQuarterHalf,blocks,Block,,,Flagstone Gable Inverted Quarter Half,,,,,,,,,,,,,,
flagstoneGableInvertedRampHalf,blocks,Block,,,Flagstone Gable Inverted Ramp Half,,,,,,,,,,,,,,
flagstoneGableInvertedSteepHalf,blocks,Block,,,Flagstone Gable Inverted Steep Half,,,,,,,,,,,,,,
flagstoneGablePyramid,blocks,Block,,,Flagstone Gable Pyramid,,,,,,,,,,,,,,
flagstoneGableQuarterHalf,blocks,Block,,,Flagstone Gable Quarter Half,,,,,,,,,,,,,,
flagstoneHalfCentered,blocks,Block,,,Flagstone Half Centreed,,,,,,,,,,,,,,
flagstoneHalfCNRInside2,blocks,Block,,,Flagstone Half Inside Corner Type 2,,,,,,,,,,,,,,
flagstoneHalfInsideCorner,blocks,Block,,,Flagstone Half Inside Corner Type 1,,,,,,,,,,,,,,
flagstoneHalfPlate,blocks,Block,,,Flagstone Half Plate,,,,,,,,,,,,,,
flagstoneHalfRampStairs50,blocks,Block,,,Flagstone Half Ramp Stairs 50,,,,,,,,,,,,,,
flagstoneHalfRampStairs50Filler,blocks,Block,,,Flagstone Half Ramp Stairs 50 Filler,,,,,,,,,,,,,,
flagstoneInclineTipHalf1,blocks,Block,,,Flagstone Incline Tip Half Type 1,,,,,,,,,,,,,,
flagstoneInclineTipHalf2,blocks,Block,,,Flagstone Incline Tip Half Type 2,,,,,,,,,,,,,,
flagstonePillar100Cap,blocks,Block,,,Flagstone Pillar 100 Cap,,,,,,,,,,,,,,
flagstonePillar50CNR,blocks,Block,,,Flagstone Pillar 50 Corner,,,,,,,,,,,,,,
flagstonePillar50CNRPlate,blocks,Block,,,Flagstone Pillar 50 Corner Plate,,,,,,,,,,,,,,
flagstonePillar50SquareTop,blocks,Block,,,Flagstone Pillar 50 Square Top,,,,,,,,,,,,,,
flagstonePlateCorner,blocks,Block,,,Flagstone Plate Corner,,,,,,,,,,,,,,
flagstonePlateCurved,blocks,Block,,,Flagstone Plate Curved,,,,,,,,,,,,,,
flagstonePlateHalfTriangle,blocks,Block,,,Flagstone Plate Half Triangle,,,,,,,,,,,,,,
flagstonePlatePole,blocks,Block,,,Flagstone Plate Pole,,,,,,,,,,,,,,
flagstonePlateQuarterTriangle,blocks,Block,,,Flagstone Plate Quarter Triangle,,,,,,,,,,,,,,
flagstonePoleCornerRound,blocks,Block,,,Flagstone Pole Corner Round,,,,,,,,,,,,,,
flagstonePoleSCTR,blocks,Block,,,Flagstone Pole Support Centre,,,,,,,,,,,,,,
flagstonePoleSupport,blocks,Block,,,Flagstone Pole Support Type 1,,,,,,,,,,,,,,
flagstonePoleSupport2,blocks,Block,,,Flagstone Pole Support Type 2,,,,,,,,,,,,,,
flagstonePoleSupportCtr,blocks,Block,,,Flagstone Pole Support Centre,,,,,,,,,,,,,,
flagstonePyramid1m,blocks,Block,,,Flagstone Pyramid 1m,,,,,,,,,,,,,,
flagstoneQuarter,blocks,Block,,,Flagstone Quarter,,,,,,,,,,,,,,
flagstoneQuarterCNRQuarterPlate,blocks,Block,,,Flagstone Quarter Corner Quarter Plate,,,,,,,,,,,,,,
flagstoneRampIncline,blocks,Block,,,Flagstone Ramp Incline,,,,,,,,,,,,,,
flagstoneRampInclineFiller,blocks,Block,,,Flagstone Ramp Incline Filler,,,,,,,,,,,,,,
flagstoneRampInclineFillerHalf1,blocks,Block,,,Flagstone Ramp Incline Filler Half Type 1,,,,,,,,,,,,,,
flagstoneRampInclineFillerHalf2,blocks,Block,,,Flagstone Ramp Incline Filler Half Type 2,,,,,,,,,,,,,,
flagstoneRampInclineHalf1,blocks,Block,,,Flagstone Ramp Incline Half Type 1,,,,,,,,,,,,,,
